"Year","Area (use fill down)","Street (use find and replace to replace the odd character with a space)","Street 2 (in Refine use titlecase and cluster and edit)","Strange HTML (use unescape HTML)"
2011,"Birmingham","Acocks Green","Acocks Green","One & Two"
2011,"Birmingham","Adderly Street","Adderly Street","Some – ndash"
2011,"Birmingham","Alcester Raod, Mosley","Alcester Raod, Mosley","€300"
2011,"Birmingham","Alcester road","Alcester road","alcester road"
2011,"Birmingham","Alcester road moseley","Alcester road moseley","""That silly man"""
2011,"Birmingham","Alcester Road Moseley","Alcester Road Moseley","<html>"
2011,"Birmingham","Alfred Street","Alfred Street","One & Two"
2011,"Birmingham","All service club, Mosley","All service club, Mosley","Some – ndash"
2011,"Birmingham","Alum Rock Road","Alum Rock Road","€300"
2011,"Birmingham","Alum Rock Road","Alum Rock Road","alcester road"
2011,"Birmingham","Alum Rock Road","Alum Rock Road","""That silly man"""
2011,"Birmingham","Alum Rock Road","Alum Rock Road","<html>"
2011,"Birmingham","Arcadian centre","Arcadian centre","One & Two"
2011,"Birmingham","Arden Road, Saltley","Arden Road, Saltley","Some – ndash"
2011,"Birmingham","Asda, Chemsley Wood","Asda, Chemsley Wood","€300"
2011,"Birmingham","Balsahll Heath Park, J/W Brighton road","Balsahll Heath Park, J/W Brighton road","alcester road"
2011,"Birmingham","Bamford Road","Bamford Road","""That silly man"""
2011,"Birmingham","Bamford Road","Bamford Road","<html>"
2011,"Birmingham","BeechBrook Avenue Sparkhill","BeechBrook Avenue Sparkhill","One & Two"
2011,"Birmingham","Belchers Lane","Belchers Lane","Some – ndash"
2011,"Birmingham","Belchers Lane","Belchers Lane","€300"
2011,"Birmingham","Belchers Lane","Belchers Lane","alcester road"
2011,"Birmingham","Belchers Lane, Bordesley Green","Belchers Lane, Bordesley Green","""That silly man"""
2011,"Birmingham","Bell Street","Bell Street","<html>"
2011,"Birmingham","Berkley Rd East ,  Haymills.","Berkley Rd East ,  Haymills.","One & Two"
2011,"Birmingham","Birmingham airport","Birmingham airport","Some – ndash"
2011,"Birmingham","Birmingham International railway station","Birmingham International railway station","€300"
2011,"Birmingham","Bordesley Green","Bordesley Green","alcester road"
2011,"Birmingham","Bordesley Green ,  Bordesley Green.","Bordesley Green ,  Bordesley Green.","""That silly man"""
2011,"Birmingham","Bristol Road","Bristol Road","<html>"
2011,"Birmingham","Bristol Street","Bristol Street","One & Two"
2011,"Birmingham","Broad Street","Broad Street","Some – ndash"
2011,"Birmingham","Broad Street","Broad Street","€300"
2011,"Birmingham","Broad Street Birmingham","Broad Street Birmingham","alcester road"
2011,"Birmingham","Buckland End Lane Shard End","Buckland End Lane Shard End","""That silly man"""
2011,"Birmingham","Bulls Head PH, St Marys Row","Bulls Head PH, St Marys Row","<html>"
2011,"Birmingham","Bushbury Road, Kitts Green","Bushbury Road, Kitts Green","NA"
2011,"Birmingham","Chartice Road","Chartice Road","NA"
2011,"Birmingham","Chestnut Road","Chestnut Road","NA"
2011,"Birmingham","Church rd, stechford","Church rd, stechford","NA"
2011,"Birmingham","Church Road, Sheldon","Church Road, Sheldon","NA"
2011,"Birmingham","Clifford RD Dorridge.","Clifford RD Dorridge.","NA"
2011,"Birmingham","Clock Lane","Clock Lane","NA"
2011,"Birmingham","Colonial road, Bordesley Green`","Colonial road, Bordesley Green`","NA"
2011,"Birmingham","Corporation St,Birmingham","Corporation St,Birmingham","NA"
2011,"Birmingham","Corporation street","Corporation street","NA"
2011,"Birmingham","Coventry rd Small heath","Coventry rd Small heath","NA"
2011,"Birmingham","COVENTRY RD, SMALL HEATH, BHAM","COVENTRY RD, SMALL HEATH, BHAM","NA"
2011,"Birmingham","Coventry Road","Coventry Road","NA"
2011,"Birmingham","Coventry Road","Coventry Road","NA"
2011,"Birmingham","Coventry Road","Coventry Road","NA"
2011,"Birmingham","Coventry Road","Coventry Road","NA"
2011,"Birmingham","Coventry Road","Coventry Road","NA"
2011,"Birmingham","Coventry road, Small heath","Coventry road, Small heath","NA"
2011,"Birmingham","Coventry Road, Small Heath","Coventry Road, Small Heath","NA"
2011,"Birmingham","Coventry road,small heath","Coventry road,small heath","NA"
2011,"Birmingham","Cranes Park Road","Cranes Park Road","NA"
2011,"Birmingham","Cranes Park Road Sheldon","Cranes Park Road Sheldon","NA"
2011,"Birmingham","Crossfield road","Crossfield road","NA"
2011,"Birmingham","Crossfields Road Kitts Green","Crossfields Road Kitts Green","NA"
2011,"Birmingham","Cxhurch rd, stechford, bham","Cxhurch rd, stechford, bham","NA"
2011,"Birmingham","Digbeth high street","Digbeth high street","NA"
2011,"Birmingham","Edgbaston road","Edgbaston road","NA"
2011,"Birmingham","Edward Road. Moseley","Edward Road. Moseley","NA"
2011,"Birmingham","Fighting Cox PH","Fighting Cox PH","NA"
2011,"Birmingham","Foremans road, sparkhill","Foremans road, sparkhill","NA"
2011,"Birmingham","Front office, kings heath","Front office, kings heath","NA"
2011,"Birmingham","Garretts Green Road, Garretts Green","Garretts Green Road, Garretts Green","NA"
2011,"Birmingham","Giles Close","Giles Close","NA"
